"Code","Symbol","Name","英文名称","注册地址","A股代码","A股简称","A股上市日期","A股总股本","A股流通股本","B股代码","B股 简 称","B股上市日期","B股总股本","B股流通股本","地 区","省 份","城 市","所属行业","公司网址"
000883.SZ,"三环股份","湖北三环股份有限公司","HUBEI TRIRING CO.,LTD","湖北省武汉市武汉东湖新技术开发区东信路18 号",883,"三环股份",05/19/98,285387695,191778357,,,,0,0,"华中","湖北","武汉市","C7 机械设备","www.triring.cn"
000885.SZ,"同力水泥","河南同力水泥股份有限公司","Henan Tongli Cement Co.,Ltd","河南省郑州市农业路41号投资大厦5层",885,"同力水泥",03/19/99,252543955,66598725,,,,0,0,"华中","河南","郑州市","C6 金属非金属","www.chundu.com.cn"
000886.SZ,"海南高速","海南高速公路股份有限公司","HAINAN EXPRESSWAY CO., LTD","海南省海口市蓝天路16号高速公路大楼",886,"海南高速",01/23/98,988828300,941640965,,,,0,0,"华南","海南","海口市","F 运输仓储","www.hi-expressway.com"
000887.SZ,"中鼎股份","安徽中鼎密封件股份有限公司","ANHUI ZHONGDING SEALING PARTS CO.,LTD","安徽省宁国经济技术开发区",887,"中鼎股份",12/03/98,425555136,425555136,,,,0,0,"华东","安徽","宣城市","C4 石化塑胶","www.chinafeicai.com"
000888.SZ,"峨眉山","峨眉山旅游股份有限公司","EMEI SHAN TOURISM CO.,LTD","四川省峨眉山市名山南路41号",888,"峨眉山Ａ",10/21/97,235188000,163810172,,,,0,0,"西南","四川","乐山市","K 社会服务","www.ems517.com"
000889.SZ,"渤海物流","秦皇岛渤海物流控股股份有限公司","QINHUANGDAO BOHAI PHYSICAL DISTRIBUTION HOLDING CO. LTD","河北省秦皇岛市海港区河北大街152号",889,"渤海物流",12/18/97,338707568,338451045,,,,0,0,"华北","河北","秦皇岛市","H 批发零售","www.hlsc.com.cn"
000890.SZ,"法尔胜","江苏法尔胜股份有限公司","JIANGSU FASTEN CO.,LTD","江苏省江阴市通江北路203号",890,"法 尔 胜",01/19/99,379641600,379509567,,,,0,0,"华东","江苏","无锡市","C6 金属非金属","www.chinafasten.com"
000892.SZ,"星美联合","星美联合股份有限公司","STELLAR MEGAUNION CO.，LTD","重庆市涪陵区人民东路50号",892,"ST星美",01/15/99,413876880,305868033,,,,0,0,"西南","重庆","重庆市","G 信息技术","www.chinacfc.com"
000893.SZ,"东凌粮油","广州东凌粮油股份有限公司","DONGKLING GRAIN & OIL CO. LTD","广州市南沙区万顷沙镇红安路3号",893,"东凌粮油",12/24/98,222000000,109897544,,,,0,0,"华南","广东","广州市","C0 食品饮料","www.wanbao-compressor.com.cn"
000895.SZ,"双汇发展","河南双汇投资发展股份有限公司","HENAN SHUANGHUI INVESTMENT & DEVELOPMENT CO.,LTD","河南省漯河市双汇路1号双汇大厦",895,"双汇发展",12/10/98,605994900,605861509,,,,0,0,"华中","河南","漯河市","C0 食品饮料","www.shuanghui.com.cn"
000897.SZ,"津滨发展","天津津滨发展股份有限公司","TIANJIN JINBIN DEVELOPMENT CO., LTD","天津经济技术开发区黄海路98号二区B座一门501室",897,"津滨发展",04/22/99,1617272234,1617007342,,,,0,0,"华北","天津","天津市","J 房地产业","www.jbdc.com.cn"
000898.SZ,"鞍钢股份","鞍钢股份有限公司","ANGANG STEEL CO.,LTD","辽宁省鞍山市铁西区鞍钢厂区",898,"鞍钢股份",12/25/97,6149007847,1808105204,,,,0,0,"东北","辽宁","鞍山市","C6 金属非金属","www.ansteel.com.cn"
000899.SZ,"赣能股份","江西赣能股份有限公司","JIANGXI GANNENG CO.,LTD","江西省南昌市高新技术开发区火炬大街199号",899,"赣能股份",11/26/97,646677760,280715911,,,,0,0,"华东","江西","南昌市","D 水电煤气","www.000899.com"
000900.SZ,"现代投资","现代投资股份有限公司","XIANDAI INVESTMENT CO., LTD","湖南省长沙市八一路466号",900,"现代投资",01/28/99,399165900,399122847,,,,0,0,"华中","湖南","长沙市","F 运输仓储","www.xdtz.net"
000901.SZ,"航天科技","航天科技控股集团股份有限公司","AEROSPACE HI-TECH HOLDING GROUP CO., LTD.","黑龙江省哈尔滨市平房区哈平西路45号",901,"航天科技",04/01/99,250359122,221759998,,,,0,0,"东北","黑龙江","哈尔滨市","C7 机械设备","www.htkjgroup.com"
000902.SZ,"中国服装","中国服装股份有限公司","CHINA GARMENTS CO., LTD","北京市新技术产业开发试验区丰台科技园区",902,"*ST中服",04/08/99,258000000,258000000,,,,0,0,"华北","北京","北京市","C1 纺织服装","www.chinagarments.net.cn"
000903.SZ,"云内动力","昆明云内动力股份有限公司","KUNMING YUNNEI POWER CO., LTD.","云南省昆明市穿金路715号",903,"云内动力",04/15/99,378200000,236450000,,,,0,0,"西南","云南","昆明市","C7 机械设备","www.yunneidongli.com"
000905.SZ,"厦门港务","厦门港务发展股份有限公司","XIAMEN PORT DEVELOPMENT CO., LTD.","福建省厦门市湖里区长岸路海天港区联检大楼13楼",905,"厦门港务",04/29/99,531000000,238284000,,,,0,0,"华东","福建","厦门市","F 运输仓储","www.xmgw.com.cn"
000906.SZ,"南方建材","南方建材股份有限公司","Southern Building Materials CO.,LTD.","湖南省长沙市芙蓉中路29号",906,"南方建材",07/07/99,330605802,86450000,,,,0,0,"华中","湖南","长沙市","H 批发零售","www.nfjc.com.cn"
000908.SZ,"天一科技","湖南天一科技股份有限公司","HUNAN TIANYI SCIENCE AND TECHNOLOGY CO., LTD","湖南省平江县天岳经济开发区天岳大道",908,"*ST天一",02/03/99,280000000,129183158,,,,0,0,"华中","湖南","岳阳市","C7 机械设备","www.china-tianyi-pump.com"
000909.SZ,"数源科技","数源科技股份有限公司","SOYEA TECHNOLOGY CO., LTD","浙江省杭州西湖区教工路一号",909,"数源科技",05/07/99,196000000,196000000,,,,0,0,"华东","浙江","杭州市","G 信息技术","www.soyea.com.cn"
000910.SZ,"大亚科技","大亚科技股份有限公司","DARE TECHNOLOGY CO.,LTD","江苏省丹阳经济技术开发区金陵西路95号",910,"大亚科技",06/30/99,527500000,527500000,,,,0,0,"华东","江苏","镇江市","C3 造纸印刷","www.daretechnology.com"
000911.SZ,"南宁糖业","南宁糖业股份有限公司","NANNING SUGAR MANUFACTURING CO.,LTD","广西南宁市亭洪路48号",911,"南宁糖业",05/27/99,286640000,286640000,,,,0,0,"华南","广西","南宁市","C0 食品饮料","www.nnsugar.com"
000912.SZ,"泸天化","四川泸天化股份有限公司","SICHUAN LUTIANHUA CO.,LTD","四川省成都市",912,"泸 天 化",06/03/99,585000000,267150000,,,,0,0,"西南","四川","成都市","C4 石化塑胶","www.chinalth.com"
000913.SZ,"钱江摩托","浙江钱江摩托股份有限公司","ZHEJIANG QIANJIQNG MOTORYCLE CO.,LTD","浙江省温岭市经济开发区",913,"钱江摩托",05/14/99,453536000,453436347,,,,0,0,"华东","浙江","台州市","C7 机械设备","www.qjmotor.com"
